k_songhay;Gao;;;;;;;;;;;;;x
k_songhay_adj;Gaoan;;;;;;;;;;;;;x
d_songhay;Gao;;;;;;;;;;;;;x
d_songhay_adj;Gaoan;;;;;;;;;;;;;x
k_ghana;Wagadou;;;;;;;;;;;;;x
k_ghana_adj;Wagadouan;;;;;;;;;;;;;x
d_ghana;Wagadou;;;;;;;;;;;;;x
d_ghana_adj;Wagadouan;;;;;;;;;;;;;x
d_ghanan_band;Wagadouan Band;;;;;;;;;;;;;x
d_ghanan_band_adj;Wagadouan;;;;;;;;;;;;;x
manden;Manding;;;;;;;;;;;;;x
bayajidda_and_magajiva;Blood of Bayajidda and Daurama;Sang de Bayajidda et Daurama;Blut von Bayajidda und Daurama;;Sangre de Bayajidda y Daurama;;;;;;;;;x
bayajidda_and_magajiva_desc;The Daura claim descent from Bayajidda and Daurama – the first of whom slew a great serpent, and the second of whom instituted the matriarchal system of the Hausa people.;Les Daura affirment descendre de Bayajidda et de Daurama – le premier a tué un grand serpent et le second a institué le système matriarcal du peuple haoussa.;Die Dauren behaupten ihre Abstammung von Bayajidda und Daurama, von denen die ersten eine große Schlange tötete und die zweite das matriachale System der Hausa eingeführt hat.;;Los Daura afirman descender de Bayajidda y Daurama. El primero mató a una gran serpiente y la segunda instituyó el sistema matriarcal del pueblo hausa.;;;;;;;;;x
